date,chair,notes
2026-01-05,@wnzuza,@jaarling
2026-01-12,@esitniko,@wnzuza
2026-01-19,@johallfo,@esitniko
2026-01-26,@soerdek,@johallfo
2026-02-02,@yajun,@soerdek
2026-02-09,@ssinha,@yajun
2026-02-16,@kmauer,@ssinha
2026-02-23,@mvivasal,@kmauer
2026-03-02,@cmwewa,@mvivasal
2026-03-09,@gianpiero.vignola-desy.de,@cmwewa
2026-03-16,@jaarling,@gianpiero.vignola-desy.de
2026-03-23,@wnzuza,@jaarling
2026-03-30,@esitniko,@wnzuza
2026-04-06,@johallfo,@esitniko
2026-04-13,@soerdek,@johallfo
2026-04-20,@yajun,@soerdek
2026-04-27,@ssinha,@yajun
2026-05-04,@kmauer,@ssinha
2026-05-11,@mvivasal,@kmauer
2026-05-18,@cmwewa,@mvivasal
2026-05-25,@gianpiero.vignola-desy.de,@cmwewa
2026-06-01,@jaarling,@gianpiero.vignola-desy.de
2026-06-08,@wnzuza,@jaarling
2026-06-15,@esitniko,@wnzuza
2026-06-22,@johallfo,@esitniko
2026-06-29,@soerdek,@johallfo
2026-07-06,@yajun,@soerdek
2026-07-13,@ssinha,@yajun
2026-07-20,@kmauer,@ssinha
2026-07-27,@mvivasal,@kmauer
2026-08-03,@cmwewa,@mvivasal
2026-08-10,@gianpiero.vignola-desy.de,@cmwewa
2026-08-17,@jaarling,@gianpiero.vignola-desy.de
2026-08-24,@wnzuza,@jaarling
2026-08-31,@esitniko,@wnzuza
2026-09-07,@johallfo,@esitniko
2026-09-14,@soerdek,@johallfo
2026-09-21,@yajun,@soerdek
2026-09-28,@ssinha,@yajun
2026-10-05,@kmauer,@ssinha
2026-10-12,@mvivasal,@kmauer
2026-10-19,@cmwewa,@mvivasal
2026-10-26,@gianpiero.vignola-desy.de,@cmwewa
2026-11-02,@jaarling,@gianpiero.vignola-desy.de
2026-11-09,@wnzuza,@jaarling
2026-11-16,@esitniko,@wnzuza
2026-11-23,@johallfo,@esitniko
2026-11-30,@soerdek,@johallfo
2026-12-07,@yajun,@soerdek
2026-12-14,@ssinha,@yajun
2026-12-21,@kmauer,@ssinha
2026-12-28,@mvivasal,@kmauer
